City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Saint George,US,37.1041,-113.5841,107.44,19,0,27.63,haze
257,Kuusamo,FI,65.9667,29.1833,64.44,94,100,6.91,overcast clouds
258,Tabuk,PH,17.4189,121.4443,77.61,84,94,2.93,overcast clouds
259,Geraldton,AU,-28.7667,114.6,57.61,94,40,11.5,scattered clouds
260,Lusambo,CD,-4.9667,23.45,71.22,46,3,2.66,clear sky
261,Paramirim,BR,-13.4425,-42.2389,71.85,55,15,6.85,few clouds
262,Soyo,AO,-6.1349,12.3689,69.37,92,5,5.35,clear sky
263,Todos Santos,MX,23.45,-110.2167,99.05,84,5,6.71,clear sky
264,Ola,RU,59.5833,151.2833,75.15,80,35,6.31,scattered clouds
265,Kupang,ID,-10.1667,123.5833,74.05,73,41,14.05,scattered clouds
266,Vardo,NO,70.3705,31.1107,51.78,100,100,3.44,light intensity shower rain
267,Polunochnoye,RU,60.8697,60.4153,66.6,71,58,2.95,broken clouds
268,Kloulklubed,PW,7.0419,134.2556,79.3,72,93,6.82,overcast clouds
269,Berlevag,NO,70.8578,29.0864,57.2,98,98,16.26,light rain
270,Faya,SA,18.3851,42.4509,64.92,55,93,6.38,overcast clouds
271,Mount Gambier,AU,-37.8333,140.7667,49.23,82,64,1.63,broken clouds
272,Danielskuil,ZA,-28.1887,23.5395,51.04,47,0,6.26,clear sky
273,Bama,NG,11.5221,13.6856,82.17,59,85,9.86,overcast clouds
274,Abdulino,RU,53.7,53.6667,68.29,79,33,5.21,scattered clouds
275,Muros,ES,42.7762,-9.0603,77.41,52,98,8.52,overcast clouds
276,Oga,IT,46.4631,10.347,60.8,86,59,1.01,broken clouds
277,Wangou,CN,42.0623,126.9127,61.86,99,96,3.8,overcast clouds
278,Talnakh,RU,69.4865,88.3972,52.21,55,40,2.73,scattered clouds
279,Tomatlan,MX,19.9333,-105.25,83.25,74,94,6.82,overcast clouds
280,Mount Darwin,ZW,-16.7725,31.5838,56.01,66,61,2.98,broken clouds
281,Lejanias,CO,3.5251,-74.0216,70.9,97,92,1.66,overcast clouds
282,Ishigaki,JP,24.3448,124.1572,85.44,81,100,18.28,overcast clouds
283,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,77,75,2.24,volcanic ash
284,Havre-Saint-Pierre,CA,50.2334,-63.5986,64.76,59,75,9.22,broken clouds
285,Jasper,US,37.2001,-94.3502,94.14,27,0,8.05,clear sky
286,Margate,GB,51.3813,1.3862,66.31,88,100,1.99,overcast clouds
287,Naze,JP,28.3667,129.4833,81.0,82,99,10.07,overcast clouds
288,Karratha,AU,-20.7377,116.8463,62.55,51,32,11.45,scattered clouds
289,Natagaima,CO,3.6206,-75.0941,84.81,57,83,1.99,broken clouds
290,Motala,SE,58.5371,15.0365,60.12,66,0,19.33,clear sky
291,Saldanha,ZA,-33.0117,17.9442,53.65,91,100,10.38,overcast clouds
292,Sabang,ID,5.8933,95.3214,82.09,79,100,16.06,overcast clouds
293,Soledade,BR,-28.8183,-52.5103,49.66,91,0,7.52,clear sky
294,Severo-Kurilsk,RU,50.6789,156.125,54.72,94,100,1.23,overcast clouds
295,Port-Gentil,GA,-0.7193,8.7815,75.16,83,100,14.97,overcast clouds
296,Koygorodok,RU,60.445,50.9968,69.91,82,100,7.76,overcast clouds
297,Tabas,IR,33.5959,56.9244,79.83,24,0,5.06,clear sky
298,Trosna,RU,52.4446,35.7791,53.4,94,99,8.19,overcast clouds
299,Henties Bay,NA,-22.116,14.2845,55.53,88,0,7.07,clear sky
300,Aykhal,RU,66.0,111.5,49.73,71,47,6.51,scattered clouds
301,Nacala,MZ,-14.5428,40.6728,69.84,79,14,6.55,few clouds
302,Olafsvik,IS,64.8945,-23.7142,49.01,78,100,10.27,overcast clouds
303,Najran,SA,17.4924,44.1277,83.07,33,100,1.25,overcast clouds
304,Norwich,GB,52.6278,1.2983,60.93,77,100,2.3,overcast clouds
305,Batagay,RU,67.6333,134.6333,58.82,61,86,3.89,overcast clouds
306,Carbonia,IT,39.1672,8.5222,77.02,78,0,1.74,clear sky
307,Blagoyevo,RU,63.3667,47.9167,65.3,89,96,4.27,overcast clouds
308,Maturin,VE,9.75,-63.1767,76.03,80,76,6.96,broken clouds
309,Reedley,US,36.5963,-119.4504,102.22,19,0,5.75,clear sky
310,Vao,NC,-22.6667,167.4833,72.81,74,93,27.87,overcast clouds
311,Zavoronezhskoye,RU,52.8801,40.5526,60.8,75,53,7.61,broken clouds
312,Bilma,NE,18.6853,12.9164,90.3,17,14,2.57,few clouds
313,Mehamn,NO,71.0357,27.8492,57.15,94,75,3.44,broken clouds
314,Sorong,ID,-0.8833,131.25,77.7,89,87,8.16,overcast clouds
315,Ribeira Grande,PT,38.5167,-28.7,72.0,78,40,11.5,scattered clouds
316,Zyryanka,RU,65.75,150.85,68.76,62,90,15.79,overcast clouds
317,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,9.22,overcast clouds
318,Souillac,MU,-20.5167,57.5167,66.58,88,75,5.75,light rain
319,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.66,94,22,9.55,few clouds
320,Yulara,AU,-25.2406,130.9889,42.51,68,0,9.35,clear sky
321,Smithers,CA,54.7804,-127.1743,61.12,59,75,4.61,light intensity shower rain
322,Husavik,IS,66.0449,-17.3389,48.56,69,54,5.35,broken clouds
323,Sambava,MG,-14.2667,50.1667,67.35,87,19,10.25,few clouds
324,Bata,GQ,1.8639,9.7658,75.22,84,63,8.01,broken clouds
325,Miandrivazo,MG,-19.5167,45.4667,67.41,51,0,0.96,clear sky
326,Nome,US,64.5011,-165.4064,66.16,72,0,12.66,clear sky
327,Rio Cuarto,AR,-33.1307,-64.3499,53.33,43,0,16.73,clear sky
328,Kaa-Khem,RU,51.6833,94.7333,54.03,79,44,3.31,scattered clouds
329,Male,MV,4.1748,73.5089,82.67,74,100,12.62,overcast clouds
330,Qasigiannguit,GL,68.8193,-51.1922,46.65,88,93,4.14,overcast clouds
331,Provideniya,RU,64.3833,-173.3,51.91,82,100,13.42,overcast clouds
332,San Jose,US,37.3394,-121.895,90.12,47,20,13.8,few clouds
333,Codrington,AU,-38.2667,141.9667,46.85,87,42,5.5,scattered clouds
334,Cayenne,GF,4.9333,-52.3333,77.04,94,100,0.0,overcast clouds
335,Saint-Augustin,CA,51.226,-58.6502,55.36,72,86,17.85,overcast clouds
336,Blatna,CZ,49.4249,13.8818,64.26,68,65,4.7,broken clouds
337,Buala,SB,-8.145,159.5921,83.48,63,19,6.31,few clouds
338,Jinchang,CN,38.4953,102.1739,76.87,51,100,4.29,overcast clouds
339,Padang,ID,-0.9492,100.3543,77.05,85,98,3.47,light rain
340,Pacific Grove,US,36.6177,-121.9166,77.38,76,40,10.36,scattered clouds
341,Kaeo,NZ,-35.1,173.7833,57.33,97,100,7.65,light rain
342,Ilulissat,GL,69.2167,-51.1,46.42,81,20,4.61,few clouds
343,Matucana,PE,-11.85,-76.4,60.33,41,17,4.03,few clouds
344,Balyaga,RU,51.1507,108.921,63.39,63,56,2.57,broken clouds
